Number	Header	Position	Time	Altitude	Leg Length	Leg Time	Leg Speed	Leg Course
225	Trackpoint	N6 14.970 W75 34.513	29/04/2024 12:36	1475	12	0:00:01	44 kph	180° true
226	Trackpoint	N6 14.963 W75 34.513	29/04/2024 12:36	1475	13	0:00:01	46 kph	179° true
227	Trackpoint	N6 14.956 W75 34.513	29/04/2024 12:36	1475	13	0:00:01	47 kph	180° true
228	Trackpoint	N6 14.949 W75 34.514	29/04/2024 12:36	1475	13	0:00:01	49 kph	183° true
229	Trackpoint	N6 14.941 W75 34.514	29/04/2024 12:36	1475	14	0:00:01	49 kph	182° true
230	Trackpoint	N6 14.934 W75 34.515	29/04/2024 12:36	1475	14	0:00:01	49 kph	187° true
231	Trackpoint	N6 14.927 W75 34.516	29/04/2024 12:36	1475	14	0:00:01	49 kph	188° true
232	Trackpoint	N6 14.920 W75 34.517	29/04/2024 12:36	1474	13	0:00:01	48 kph	187° true
233	Trackpoint	N6 14.912 W75 34.518	29/04/2024 12:36	1474	14	0:00:01	49 kph	186° true
234	Trackpoint	N6 14.905 W75 34.518	29/04/2024 12:36	1474	14	0:00:01	50 kph	183° true
235	Trackpoint	N6 14.898 W75 34.518	29/04/2024 12:36	1474	14	0:00:01	49 kph	182° true
236	Trackpoint	N6 14.890 W75 34.519	29/04/2024 12:36	1474	14	0:00:01	49 kph	185° true
237	Trackpoint	N6 14.883 W75 34.520	29/04/2024 12:36	1474	13	0:00:01	48 kph	186° true
238	Trackpoint	N6 14.876 W75 34.520	29/04/2024 12:36	1474	13	0:00:01	48 kph	183° true
239	Trackpoint	N6 14.869 W75 34.520	29/04/2024 12:36	1474	13	0:00:01	46 kph	182° true
240	Trackpoint	N6 14.862 W75 34.520	29/04/2024 12:36	1474	12	0:00:01	45 kph	177° true
241	Trackpoint	N6 14.856 W75 34.520	29/04/2024 12:36	1474	12	0:00:01	43 kph	179° true
242	Trackpoint	N6 14.850 W75 34.520	29/04/2024 12:36	1474	11	0:00:01	38 kph	180° true
243	Trackpoint	N6 14.846 W75 34.520	29/04/2024 12:36	1474	8	0:00:01	30 kph	179° true
244	Trackpoint	N6 14.842 W75 34.520	29/04/2024 12:36	1474	7	0:00:01	24 kph	180° true
245	Trackpoint	N6 14.838 W75 34.520	29/04/2024 12:36	1474	7	0:00:01	25 kph	184° true
246	Trackpoint	N6 14.835 W75 34.520	29/04/2024 12:36	1474	7	0:00:01	25 kph	186° true
247	Trackpoint	N6 14.831 W75 34.521	29/04/2024 12:36	1474	7	0:00:01	26 kph	184° true
248	Trackpoint	N6 14.827 W75 34.521	29/04/2024 12:36	1474	7	0:00:01	24 kph	181° true
249	Trackpoint	N6 14.824 W75 34.521	29/04/2024 12:36	1474	6	0:00:01	21 kph	188° true
250	Trackpoint	N6 14.821 W75 34.522	29/04/2024 12:36	1475	6	0:00:01	22 kph	192° true
251	Trackpoint	N6 14.817 W75 34.522	29/04/2024 12:36	1475	7	0:00:01	24 kph	189° true
252	Trackpoint	N6 14.813 W75 34.524	29/04/2024 12:36	1475	8	0:00:01	29 kph	196° true
253	Trackpoint	N6 14.809 W75 34.525	29/04/2024 12:36	1475	9	0:00:01	32 kph	198° true
254	Trackpoint	N6 14.804 W75 34.528	29/04/2024 12:36	1476	10	0:00:01	35 kph	210° true
